ID	地点番号	駅名	世代	年齢(調査時)	開始時刻	出身地	生年	性別	1009とうもろこし<家>	1009とうもろこし<TV>	1013片足とび<家>	1013片足とび<TV>	1016びり<家>	1016びり<TV>	1007あざができる<家>	1007あざができる[あざ-]<家>	1007あざができる[-が-]<家>	1007あざができる[-できる]<家>	1007あざができる<TV>
38	NI1803	芦原温泉	中	57	11:05	1	1950	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾍｯﾍﾟ	"ﾄﾞﾝｹ,ｻｲｶｲ"	ｱｵｱｻﾞﾆﾅﾙ	ｱｵｱｻﾞ	ﾆ	ﾅﾙ	ｱｵｱｻﾞﾆﾅﾙ
38	NI1803	芦原温泉	若	34	10:15	1	1973	男	"ﾄｰﾓﾛｺｼ,ﾄｰｷﾋﾞ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾄﾞﾍﾞ	ﾋﾞﾘ	ｱｵﾀﾝﾆﾅﾙ	ｱｵﾀﾝ	ﾆ	ﾅﾙ	ｱｵﾀﾝﾆﾅﾙ
38	NI1803	芦原温泉	少	13	10:25	1	1993	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	"ﾄﾞﾍﾞ,ﾋﾞﾘ"	ｻｲｺﾞ	ｱｻﾞﾆﾅﾙ	ｱｻﾞ	ﾆ	ﾅﾙ	ｱｻﾞﾆﾅﾙ
39	NI1804	丸岡	高	68	10:05	1	1939	男	ﾄｰｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｶﾀｱｼﾄﾋﾞ	ｶﾀｱｼﾄﾋﾞ	"ﾋﾞﾘ,ｼﾘ"	ﾋﾞﾘ	ｱｻﾞﾆﾅﾙ	ｱｻﾞ	ﾆ	ﾅﾙ	ｱｻﾞﾆﾅﾙ
39	NI1804	丸岡	中	55	11:05	1	1952	男	ﾄｰｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾄﾞﾝｹﾂ	ﾋﾞﾘ	ｱｻﾞﾆﾅﾙ	ｱｻﾞ	ﾆ	ﾅﾙ	ｱｻﾞﾆﾅﾙ
39	NI1804	丸岡	若	35	10:10	1	1971	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾄﾞﾝｹﾂ	ｻｲｺﾞ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｵｱｻﾞｶﾞﾃﾞｷﾙ
39	NI1804	丸岡	少	14	9:55	1	1993	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	ﾋﾞﾘ	ﾋﾞﾘ	"ｱｻﾞｶﾞﾃﾞｷﾙ,《ｱｵｸﾅﾙ》"	"ｱｻﾞ,NN"	"ｶﾞ,NN"	"ﾃﾞｷﾙ,ｱｵｸﾅﾙ"	ｱｻﾞｶﾞﾃﾞｷﾙ
40	NI1805	春江	高	70	15:00	1	1936	男	ﾄｰｷﾋﾞ	ﾄｰﾓﾛｺｼ	"ｶﾀｱｼﾄﾋﾞ,ｹﾝｹﾝ"	ｶﾀｱｼﾄﾋﾞ	ﾋﾞﾘ	ﾋﾞﾘ	"ｱｵｱｻﾞﾅﾙ,ｱｵｱｻﾞﾃﾞｷﾙ"	"ｱｵｱｻﾞ,ｱｵｱｻﾞ"	φ	"ﾅﾙ,ﾃﾞｷﾙ"	ｱｵｸﾊﾚﾙ
40	NI1805	春江	中	51	15:00	1	1956	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ﾋﾞﾘ	ﾀﾞﾎﾞｸ	ﾀﾞﾎﾞｸ	NN	NN	ﾀﾞﾎﾞｸ
40	NI1805	春江	若	38	15:00	1	1969	男	ﾄｰｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ｹﾞﾍﾞ,ｹﾞｯﾋﾟ"	ﾋﾞﾘ	ｱｵﾀﾝｶﾞﾃﾞｷﾙ	ｱｵﾀﾝ	ｶﾞ	ﾃﾞｷﾙ	ｱｵﾀﾝｶﾞﾃﾞｷﾙ
40	NI1805	春江	少	16	11:10	1	1991	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ﾄﾞﾝｹﾂ"	ﾋﾞﾘ	"ｱｻﾞﾃﾞｷﾂﾝﾀ,ｱｵｱｻﾞﾃﾞｷﾂﾝﾀ"	"ｱｻﾞ,ｱｵｱｻﾞ"	φ	ﾃﾞｷﾂﾝﾀ	ｱｻﾞｶﾞﾃﾞｷﾙ
41	NI1806	森田	高	66	10:50	1	1941	男	"ﾄｰｷﾋﾞ,ﾄｰﾓﾛｺｼ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	"ﾋﾞﾘ,ﾋﾞﾘｯｹﾂ"	ﾋﾞﾘ	ｱｻﾞｵﾂｸﾙ	ｱｻﾞ	ｵ	ﾂｸﾙ	ｱｻﾞｵﾂｸﾙ
41	NI1806	森田	中	55	9:50	1	1952	女	"ﾄｰﾓﾛｺｼ,ﾄｰｷﾋﾞ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ﾄﾞｯﾍﾟ"	ﾋﾞﾘ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
41	NI1806	森田	若	35	11:25	1	1971	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ｹﾂ"	ﾋﾞﾘ	ｱｻﾞﾆﾅﾙ	ｱｻﾞ	ﾆ	ﾅﾙ	ﾅｲｼｭｯｹﾂﾆﾅﾙ
41	NI1806	森田	少	14	9:55	1	1992	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	"ｶﾀｱｼﾄﾋﾞ,ｹﾝｹﾝ"	ｶﾀｱｼﾄﾋﾞ	ﾄﾞﾍﾞ	ﾄﾞﾍﾞ	ｱｻﾞﾆﾅﾙ	ｱｻﾞ	ﾆ	ﾅﾙ	ｱｻﾞﾆﾅﾙ
42	NI1807	FUKUI	高	64	15:10	1	1942	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｶﾀｱｼﾄﾋﾞ	ｶﾀｱｼﾄﾋﾞ	"ﾄﾞｯｹ,ﾄﾞｯﾍﾟ"	ﾋﾞﾘ	ｱｵｱｻﾞﾃﾞｷﾃﾝﾀ	ｱｵｱｻﾞ	φ	ﾃﾞｷﾃﾝﾀ	ﾅｲｼｭｯｹﾂ
42	NI1807	FUKUI	中	42	15:15	1	1965	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｶﾀｱｼﾄﾋﾞ	ｹﾝｹﾝ	ﾄﾞﾝﾍﾟ	ｻｲｺﾞ	ｱｵｱｻﾞｶﾞﾃﾞｷﾙ	ｱｵｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ﾅｲｼｭｯｹﾂﾆﾅﾙ
42	NI1807	FUKUI	少	17	15:05	1	1989	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｶﾀｱｼﾄﾋﾞ	ｹﾝｹﾝ	ﾋﾞﾘ	ﾋﾞﾘ	"ｱｻﾞｶﾞﾃﾞｷﾙ,ｱｻﾞﾆﾅﾙ"	ｱｻﾞ	"ｶﾞ,ﾆ"	"ﾃﾞｷﾙ,ﾅﾙ"	ﾅｲｼｭｯｹﾂﾆ
43	NI1808	越前花堂	高	69	9:00	1	1938	男	ﾄｰｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	ﾄﾞﾝﾍﾟ	ﾋﾞﾘ	ﾄﾞｼﾞｸﾞﾛﾅｯﾀ	NN	NN	ﾄﾞｼﾞｸﾞﾛﾅｯﾀ	ｱｵｱｻﾞｶﾞﾃﾞｷﾀ
43	NI1808	越前花堂	中	47	9:00	1	1960	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｶﾀｱｼﾄﾋﾞ	ｹﾝｹﾝ	"ﾄﾞﾝｹﾂ,ﾄﾞﾝﾍﾟ,ﾋﾞﾘ"	"ﾄﾞﾝｹﾂ,ﾄﾞﾝﾍﾟ,ﾋﾞﾘ"	"ｱｻﾞﾆﾃﾞｷﾙ,ｱｵｱｻﾞﾆﾃﾞｷﾙ"	"ｱｻﾞ,ｱｵｱｻﾞ"	ﾆ	ﾃﾞｷﾙ	"ｱｻﾞﾆﾃﾞｷﾙ,ｱｵｱｻﾞﾆﾃﾞｷﾙ"
43	NI1808	越前花堂	若	23	9:00	1	1984	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	"ｹﾝｹﾝﾄﾋﾞ,ｶﾀｱｼﾄﾋﾞ"	ﾄﾞﾝｹﾂ	"ｻｲｶｲ,ﾋﾞﾘ,ﾄﾞﾍﾞ"	ｱｵｱｻﾞｶﾞﾃﾞｷﾙ	ｱｵｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｵｱｻﾞｶﾞﾃﾞｷﾙ
43	NI1808	越前花堂	少	14	9:00	1	1992	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾄﾞﾝﾍﾟ	ﾋﾞﾘ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
44	NI1809	大土呂	高	71	10:00	1	1936	女	ﾄｰｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	ﾄﾞﾝﾍﾟ	ｻｲｺﾞ	ｱｵｱｻﾞｶﾞﾃﾞｷﾙ	ｱｵｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｳﾁﾐｶﾞﾃﾞｷﾙ
44	NI1809	大土呂	中	49	10:02	1	1958	男	"ﾄｰﾓﾛｺｼ,(ﾄｰｷﾋﾞ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾄﾞﾝﾍﾟ	ﾋﾞﾘ	ｱｵｱｻﾞｶﾞﾃﾞｷﾙ	ｱｵｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ﾅｲｼｭｯｹﾂ
44	NI1809	大土呂	若	37	10:02	1	1969	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	"ｹﾝｹﾝ,ｶﾀｱｼﾄﾋﾞ"	ｶﾀｱｼﾄﾋﾞ	"ﾋﾞﾘ,ﾄﾞﾝｹﾂ"	ｻｲｺﾞ	"ｱｻﾞｶﾞﾃﾞｷﾙ,ｱｵﾀﾝｶﾞﾃﾞｷﾙ"	"ｱｻﾞ,ｱｵﾀﾝ"	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
44	NI1809	大土呂	少	15	10:45	1	1992	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ﾋﾞﾘ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
45	NI1810	北鯖江	高	76	14:10	1	1931	男	ﾄｰｷﾋﾞ	ﾄｰｷﾋﾞ	"ｶﾀｱｼﾄﾋﾞ,ｹﾝｹﾝﾄﾋﾞ"	ｶﾀｱｼﾄﾋﾞ	ﾄﾞﾝｹﾂ	ﾄﾞﾝｹﾂ	"ｱｻﾞｶﾞﾃﾞｷﾙ,ｳｼﾞｸﾞﾛﾅﾙ"	"ｱｻﾞ,NN"	"ｶﾞ,NN"	"ﾃﾞｷﾙ,ｳｼﾞｸﾞﾛﾅﾙ"	ｱｻﾞｶﾞﾃﾞｷﾙ
45	NI1810	北鯖江	中	52	14:20	3	1955	男	ﾄｰｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾄﾞﾝｹ	ﾋﾞﾘ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
45	NI1810	北鯖江	若	35	9:53	1	1972	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｼﾞｬﾝﾌﾟ	"ﾄﾞﾝｸｻｲ,ﾄﾞﾝｹﾂ"	ｵｿｲ	ｱｵﾀﾝｶﾞﾃﾞｷﾙ	ｱｵﾀﾝ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
45	NI1810	北鯖江	少	15	12:05	1	1993	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾄﾞﾝｹ	ﾋﾞﾘ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
46	NI1811	鯖江	高	77	13:00	1	1930	女	ﾄｰｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｶﾀｱｼｹﾝｹﾝ	ｶﾀｱｼｹﾝｹﾝ	ﾋﾞﾘ	ﾋﾞﾘ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
46	NI1811	鯖江	中	50	14:37	3	1957	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	ﾋﾞﾘ	ﾋﾞﾘ	"ｱｻﾞﾆﾅﾙ,ｳﾁﾐﾆﾅﾙ"	"ｱｻﾞ,ｳﾁﾐ"	ﾆ	ﾅﾙ	ﾀﾞﾎﾞｸ
46	NI1811	鯖江	若	35	10:39	1	1972	男	ﾄｰｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾄﾞﾍﾞ,ﾄﾞﾝﾍﾟ"	ﾋﾞﾘ	ｱｻﾞﾆﾅﾙ	ｱｻﾞ	ﾆ	ﾅﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
46	NI1811	鯖江	少	12	10:30	1	1995	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	"ｶﾀｱｼｼﾞｬﾝﾌﾟ,ｹﾝｹﾝ"	ｶﾀｱｼｼﾞｬﾝﾌﾟ	ﾄﾞﾍﾞ	ｻｲｺﾞ	ｱｻﾞﾝﾅﾙ	ｱｻﾞ	ﾝ	ﾅﾙ	ｱｻﾞﾆﾅﾙ
